Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
Cancer_modules	MODULE_106	12	3	0.00010485019810986665	0.0034761873373348098	CYP2C18:CYP2E1:CYP2B6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_106
Cancer_modules	MODULE_505	13	3	0.0001355034814653681	0.004063981618018738	UGT2B15:UGT2B7:UGT2B4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_505
Cancer_modules	MODULE_117	689	16	0.00014143787533707903	0.004063981618018738	DHRS3:CHRNB2:UGT1A4:AADAC:TXK:UGT2B17:UGT2B7:UGT2B4:UGT2A1:UGT2A1:ADH1A:BCKDHB:ALDH1A1:GIT2:RASA3:ALDH3A1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_117
Cancer_modules	MODULE_286	37	4	0.00021247242264287708	0.005471723938647936	TP53I3:ADH4:ADH1A:ADH1C	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_286
Cancer_modules	MODULE_88	790	17	0.00021582205790490698	0.005471723938647936	DHRS3:FMO3:AADAC:UGT2B15:UGT2B7:ADH1A:ADH1B:ADH1C:ALDH1A1:CYP2E1:GLYAT:INHBC:ALDH1A3:CYP2B6:APOC4-APOC2:APOC4:NECAB3:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_88
Cancer_modules	MODULE_305	18	3	0.0003753859981025592	0.008988409176789057	ACO1:ALDH1A1:ALDH2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_305
Cancer_modules	MODULE_40	79	5	0.00043220579364550973	0.009804247213748143	ADH4:ALDH1A1:GLYAT:ALDH6A1:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_40
Cancer_modules	MODULE_324	129	6	0.0006077290207666331	0.013096560397520943	TP53I3:ADH4:ADH1A:ADH1C:ADH7:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_324
Cancer_modules	MODULE_19	298	9	0.000689758140609107	0.013599070183919352	SPTBN1:AADAC:ADH1A:ADH1B:ACO1:ALDH1A1:ALDH6A1:NECAB3:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_19
Cancer_modules	MODULE_24	428	11	0.000694152074353192	0.013599070183919352	DHRS3:AADAC:UGT2B15:ADH1A:ACO1:ALDH1A1:CYP2E1:INHBC:CYP2B6:APOC4-APOC2:APOC4:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_24
Cancer_modules	MODULE_112	251	8	0.0009651626758967926	0.01808630927441381	CHRNB2:UGT1A6:AADAC:UGT2B7:ADH1B:ALDH1A3:CYP2B6:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_112
Cancer_modules	MODULE_184	28	3	0.0014210543585889256	0.025519767856326123	ALDH1A1:ALDH2:ALDH6A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_184
Cancer_modules	MODULE_221	29	3	0.0015757544677374765	0.027166007023794098	ALDH1A1:ALDH2:ALDH6A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_221
Cancer_modules	MODULE_176	221	7	0.002063823991026092	0.034211851543547916	UGT1A6:AADAC:UGT2B7:ADH1B:ALDH1A3:CYP2B6:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_176
Cancer_modules	MODULE_377	10	2	0.002741333715198441	0.04375980856483438	ADH4:GLYAT	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_377
Positional_gene_sets	chr4q23	22	8	4.180445769239993e-12	1.254133730771998e-09	ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:DNAJB14	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr4q23
Positional_gene_sets	chr4q13	85	8	4.0942230827589253e-07	6.141334624138387e-05	UGT2B17:UGT2B15:UGT2B10:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr4q13
Positional_gene_sets	chr2q37	148	9	3.109663666467511e-06	0.00031096636664675113	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:SH3BP4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr2q37
Positional_gene_sets	chr7q22	145	7	0.00017031328829719236	0.012773496622289425	CPSF4:ZNF394:ZKSCAN5:ZSCAN25:CYP3A5:CYP3A43:ZKSCAN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/chr7q22
Wikipathways	WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II	174	27	4.538687925748693e-27	3.3268582495737915e-24	AKR1A1:FMO3:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:CYP3A5:CYP3A43:CYP2C18:CYP2E1:GLYAT:MGST1:SULT1A2:SULT1A1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II
Wikipathways	WP_GLUCURONIDATION	24	15	2.4471394842711626e-26	8.96876620985381e-24	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_GLUCURONIDATION
Wikipathways	WP_FATTY_ACID_OMEGAOXIDATION	13	9	7.668229804939041e-17	1.8736041490067724e-14	ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:ALDH1A1:CYP2E1:ALDH2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FATTY_ACID_OMEGAOXIDATION
Wikipathways	WP_TAMOXIFEN_METABOLISM	19	8	1.0085638154413192e-12	1.8481931917962174e-10	FMO3:UGT1A10:UGT1A4:UGT2B15:UGT2B7:CYP3A5:CYP2E1:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_TAMOXIFEN_METABOLISM
Wikipathways	WP_NUCLEAR_RECEPTORS_METAPATHWAY	303	18	4.7401949255979454e-11	6.949125760926588e-09	TGFB2:SLC5A6:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A1:UGT2B7:UGT2B4:ADH7:CYP3A5:PTGR1:MGST1:HSP90AA1:SULT1A1:ALDH3A1:CYP2B6:SRXN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NUCLEAR_RECEPTORS_METAPATHWAY
Wikipathways	WP_NRF2_PATHWAY	134	13	6.142598037598228e-11	7.504207269265835e-09	TGFB2:SLC5A6:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A1:UGT2B7:ADH7:PTGR1:HSP90AA1:ALDH3A1:SRXN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NRF2_PATHWAY
Wikipathways	WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY	30	8	7.244872225742021e-11	7.586416202098431e-09	UGT1A9:UGT1A6:UGT1A4:UGT1A1:CYP3A5:HSP90AA1:SULT1A1:CYP2B6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY
Wikipathways	WP_CODEINE_AND_MORPHINE_METABOLISM	12	6	2.1402233298467105e-10	1.9609796259720484e-08	UGT1A10:UGT1A9:UGT1A6:UGT1A1:UGT2B7:UGT2B4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CODEINE_AND_MORPHINE_METABOLISM
Wikipathways	WP_VITAMIN_A_AND_CAROTENOID_METABOLISM	41	8	1.0971640228005578e-09	8.93579143014232e-08	DHRS3:ADH4:ADH1A:ALDH1A1:CYP2E1:ALDH1A3:SULT1A1:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_VITAMIN_A_AND_CAROTENOID_METABOLISM
Wikipathways	WP_ETHANOL_EFFECTS_ON_HISTONE_MODIFICATIONS	28	7	1.9182738614626506e-09	1.3286595059614036e-07	ADH1A:ADH1B:ADH1C:ALDH1A1:CYP2E1:ALDH2:ALDH1A3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ETHANOL_EFFECTS_ON_HISTONE_MODIFICATIONS
Wikipathways	WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873	44	8	1.9938955751126113e-09	1.3286595059614036e-07	UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A1:MGST1:HSP90AA1:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873
Wikipathways	WP_ESTROGEN_METABOLISM_WP697	18	6	4.131584543722288e-09	2.353919293587345e-07	UGT1A8:UGT1A9:UGT1A6:UGT1A3:UGT1A1:UGT2B7:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ESTROGEN_METABOLISM_WP697
Wikipathways	WP_PREGNANE_X_RECEPTOR_PATHWAY	31	7	4.174754545243586e-09	2.353919293587345e-07	UGT1A9:UGT1A6:UGT1A4:UGT1A1:CYP3A5:HSP90AA1:CYP2B6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_PREGNANE_X_RECEPTOR_PATHWAY
Wikipathways	WP_IRINOTECAN_PATHWAY	11	5	1.3755497814503935e-08	7.201985641450988e-07	UGT1A10:UGT1A9:UGT1A1:ABCG2:CYP3A5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_IRINOTECAN_PATHWAY
Wikipathways	WP_ARYLAMINE_METABOLISM	6	4	5.858579689094143e-08	2.683961820066254e-06	UGT1A9:UGT1A4:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ARYLAMINE_METABOLISM
Wikipathways	WP_NICOTINE_METABOLISM_IN_LIVER_CELLS	6	4	5.858579689094143e-08	2.683961820066254e-06	FMO3:UGT1A9:UGT1A4:CYP2B6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NICOTINE_METABOLISM_IN_LIVER_CELLS
Wikipathways	WP_OXIDATION_BY_CYTOCHROME_P450	58	6	6.907314855725265e-06	0.00029782716407333057	CYP3A5:CYP3A43:CYP2C18:CYP2E1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_OXIDATION_BY_CYTOCHROME_P450
Wikipathways	WP_FOLATEALCOHOL_AND_CANCER_PATHWAY_HYPOTHESES	9	3	4.074909801134351e-05	0.001659393824573044	ADH5:ALDH1A1:CYP2E1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_FOLATEALCOHOL_AND_CANCER_PATHWAY_HYPOTHESES
Wikipathways	WP_AMINO_ACID_METABOLISM	89	6	8.078986783754522e-05	0.00311678805920635	ADH5:ADH4:ADH1C:ADH7:ALDH1A1:ACSS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_AMINO_ACID_METABOLISM
Wikipathways	WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME	140	7	0.00013701822461087852	0.005021717931988697	UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A1:SH3BP4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME
Wikipathways	WP_RETINOL_METABOLISM	15	3	0.00021304647679726236	0.007436336547256825	ADH1A:ALDH1A1:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_RETINOL_METABOLISM
Wikipathways	WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHABETA_COMPLEX	20	3	0.0005182995612251597	0.01726879901718373	DNMT3A:PTEN:GABPB1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHABETA_COMPLEX
Wikipathways	WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS	84	5	0.0005733075942574856	0.018271063764814646	PKLR:TGFB2:PTEN:ACACB:LDHD	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS
Wikipathways	WP_ESTROGEN_METABOLISM_WP5276	22	3	0.0006919721679827655	0.021133983297140297	UGT1A10:UGT2B7:CYP3A5	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ESTROGEN_METABOLISM_WP5276
Wikipathways	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	145	6	0.001118217292265964	0.032786131009238065	PRKAB2:PKLR:ADIPOQ:MLXIPL:CYP2E1:MLX	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NONALCOHOLIC_FATTY_LIVER_DISEASE
Wikipathways	WP_MINERALOCORTICOID_BIOSYNTHESIS	8	2	0.0017237761420222973	0.04859722738855169	UGT1A10:UGT2B7	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_MINERALOCORTICOID_BIOSYNTHESIS
GO_mf	GOMF_GLUCURONOSYLTRANSFERASE_ACTIVITY	33	16	1.5239769309726544e-25	2.700487121683544e-22	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:UGT3A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_GLUCURONOSYLTRANSFERASE_ACTIVITY
GO_mf	GOMF_OXIDOREDUCTASE_ACTIVITY	692	35	2.1982549233790085e-18	1.947653862113802e-15	DHRS3:MECR:AKR1A1:FMO3:TP53I3:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:BCKDHB:CYP3A5:CYP3A43:ADHFE1:ALDH1A1:PTGR1:CYP2C18:CYP2E1:LDHAL6A:ALDH3B1:MGST1:ALDH2:PTGR2:RP5-1021I20.4:ALDH6A1:ALDH1A3:HBA2:HBA1:KDM8:LDHD:VAT1L:ALDH3A1:CYP2B6:CYP2A13:SRXN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_OXIDOREDUCTASE_ACTIVITY
GO_mf	GOMF_ISOPRENOID_BINDING	42	13	7.513790796659599e-18	3.5109221478991296e-15	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2B7:UGT2B4:ADH4:ADH7	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ISOPRENOID_BINDING
GO_mf	GOMF_RETINOIC_ACID_BINDING	23	11	7.925332162300517e-18	3.5109221478991296e-15	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2B7:UGT2B4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_RETINOIC_ACID_BINDING
GO_mf	GOMF_ALCOHOL_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	10	8	6.385660615022519e-16	2.2630781219639808e-13	ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:ADHFE1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ALCOHOL_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY
GO_mf	GOMF_UDP_GLYCOSYLTRANSFERASE_ACTIVITY	141	17	1.6190860422631532e-15	4.726678678199283e-13	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:UGT3A2:XYLT1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_UDP_GLYCOSYLTRANSFERASE_ACTIVITY
GO_mf	GOMF_ALCOHOL_DEHYDROGENASE_ACTIVITY_ZINC_DEPENDENT	7	7	1.8671981234421547e-15	4.726678678199283e-13	ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ALCOHOL_DEHYDROGENASE_ACTIVITY_ZINC_DEPENDENT
GO_mf	GOMF_HEXOSYLTRANSFERASE_ACTIVITY	191	18	1.861228390249922e-14	4.1226208844035776e-12	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:UGT3A2:STT3A:TMTC1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_HEXOSYLTRANSFERASE_ACTIVITY
GO_mf	GOMF_MONOCARBOXYLIC_ACID_BINDING	85	13	1.6133961240083072e-13	3.012311994013459e-11	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2B7:UGT2B4:ADH5:ACACB	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_MONOCARBOXYLIC_ACID_BINDING
GO_mf	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	131	15	1.6999503352220425e-13	3.012311994013459e-11	DHRS3:AKR1A1:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:ADHFE1:PTGR1:LDHAL6A:PTGR2:RP5-1021I20.4:LDHD:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS
GO_mf	GOMF_GLYCOSYLTRANSFERASE_ACTIVITY	266	19	5.22790486831372e-13	8.421679478774467e-11	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:UGT3A2:STT3A:TMTC1:XYLT1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_GLYCOSYLTRANSFERASE_ACTIVITY
GO_mf	GOMF_NAD_RETINOL_DEHYDROGENASE_ACTIVITY	20	8	1.669495587894516e-12	2.465288484790902e-10	DHRS3:AKR1A1:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_NAD_RETINOL_DEHYDROGENASE_ACTIVITY
GO_mf	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	47	10	3.3690508664792466e-12	4.592275488770173e-10	ADH5:ADH4:ADH7:BCKDHB:ALDH1A1:ALDH3B1:ALDH2:ALDH6A1:ALDH1A3:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS
GO_mf	GOMF_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	16	7	2.0099494741379018e-11	2.5440217629802586e-09	ADH5:ADH4:ALDH1A1:ALDH3B1:ALDH2:ALDH1A3:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY
GO_mf	GOMF_ORGANIC_ACID_BINDING	209	15	1.5012414748391774e-10	1.7734665956100148e-08	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A3:UGT1A1:ADIPOQ:UGT2B17:UGT2B15:UGT2B7:UGT2B4:ADH5:ACACB:HBA2:HBA1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ORGANIC_ACID_BINDING
GO_mf	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	38	8	5.731657336582219e-10	6.347810500264808e-08	ADH5:ADH4:ALDH1A1:ALDH3B1:ALDH2:ALDH6A1:ALDH1A3:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR
GO_mf	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_FLAVIN_OR_FLAVOPROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	34	6	2.6911940962496043e-07	2.805174081502529e-05	CYP3A5:CYP3A43:CYP2C18:CYP2E1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_FLAVIN_OR_FLAVOPROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN
GO_mf	GOMF_AROMATASE_ACTIVITY	21	5	5.677410899079832e-07	5.5890956184274786e-05	CYP3A5:CYP3A43:CYP2C18:CYP2E1:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_AROMATASE_ACTIVITY
GO_mf	GOMF_LIPID_BINDING	811	21	2.362135060220834e-06	0.00022030017509006936	SH3YL1:SPTBN1:STAM2:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A3:UGT1A1:UGT2B17:UGT2B15:UGT2B7:UGT2B4:ADH5:ADH4:ADH7:PSD2:ARHGAP26:PTEN:ALDH6A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_LIPID_BINDING
GO_mf	GOMF_ARACHIDONIC_ACID_MONOOXYGENASE_ACTIVITY	17	4	8.675939062067426e-06	0.0007352269563768848	CYP2C18:CYP2E1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ARACHIDONIC_ACID_MONOOXYGENASE_ACTIVITY
GO_mf	GOMF_TRANSITION_METAL_ION_BINDING	1029	23	8.713186277604166e-06	0.0007352269563768848	TRIM45:CA14:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:SNRPC:CPSF4:ZKSCAN5:CYP3A5:CYP3A43:CYP2C18:CYP2E1:PTGR2:RP5-1021I20.4:HBA2:HBA1:VAT1L:DTNA:CYP2B6:CYP2A13:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_TRANSITION_METAL_ION_BINDING
GO_mf	GOMF_PROTEIN_HOMODIMERIZATION_ACTIVITY	680	18	9.609442920104694e-06	0.0007739969479284327	CASQ2:TGFB2:TP53I3:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT1A3:UGT1A1:ADIPOQ:ABCG2:SNRPC:MLXIPL:FOXP2:HSP90AA1:ALDH1A3:MLX	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_PROTEIN_HOMODIMERIZATION_ACTIVITY
GO_mf	GOMF_MONOOXYGENASE_ACTIVITY	94	7	1.063085457977993e-05	0.0008190380137117407	FMO3:CYP3A5:CYP3A43:CYP2C18:CYP2E1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_MONOOXYGENASE_ACTIVITY
GO_mf	GOMF_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY	22	4	2.584403913771683e-05	0.0019081515563347592	DHRS3:AKR1A1:ADH4:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY
GO_mf	GOMF_ADENYL_NUCLEOTIDE_BINDING	1553	28	4.561635969372394e-05	0.003233287575091153	PKLR:FMO3:TP53I3:TXK:ABCG2:ADH4:GRK6:DNAH8:KIFC2:ALDH1A1:KIF12:HIPK3:DDX6:ACACB:ALDH2:CDK8:ALDH6A1:HSP90AA1:CKB:TRPM7:ULK3:ALDH1A3:SBK1:SULT1A1:TRPM4:SRXN1:PANK2:ACSS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ADENYL_NUCLEOTIDE_BINDING
GO_mf	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN	163	8	5.19942329748593e-05	0.0035436069550557952	FMO3:CYP3A5:CYP3A43:CYP2C18:CYP2E1:KDM8:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN
GO_mf	GOMF_ALDO_KETO_REDUCTASE_NADP_ACTIVITY	28	4	6.967532887624365e-05	0.004572766028470509	DHRS3:AKR1A1:ADH4:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ALDO_KETO_REDUCTASE_NADP_ACTIVITY
GO_mf	GOMF_TETRAPYRROLE_BINDING	137	7	0.00011972160459197219	0.007576667262034811	CYP3A5:CYP3A43:CYP2C18:CYP2E1:HBA2:HBA1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_TETRAPYRROLE_BINDING
GO_mf	GOMF_IRON_ION_BINDING	141	7	0.00014321442866604097	0.008750895434352573	CYP3A5:CYP3A43:CYP2C18:CYP2E1:HBA2:HBA1:CYP2B6:CYP2A13	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_IRON_ION_BINDING
GO_mf	GOMF_OXYGEN_BINDING	35	4	0.000170560408735931	0.010074434809335658	CYP3A5:CYP2C18:CYP2E1:HBA2:HBA1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_OXYGEN_BINDING
GO_mf	GOMF_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	4	2	0.00037725804671951584	0.02156455673506394	ALDH3B1:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY
GO_mf	GOMF_ZINC_ION_BINDING	771	16	0.0004924723845556411	0.02727065829476863	TRIM45:CA14:ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:SNRPC:CPSF4:ZKSCAN5:PTGR2:RP5-1021I20.4:VAT1L:DTNA:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_ZINC_ION_BINDING
GO_mf	GOMF_LACTATE_DEHYDROGENASE_ACTIVITY	5	2	0.000625451971623993	0.033584875567203507	LDHAL6A:LDHD	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_LACTATE_DEHYDROGENASE_ACTIVITY
