Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
O20 Haemorrhage in early pregnancy,132194,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1203,212410,0.327622397907995,0.136844816343982,,,icd_first_occurrence-132194-both_sexes--
O02 Other abnormal products of conception,132166,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1637,211976,0.327631469023107,-0.118380451703338,,,icd_first_occurrence-132166-both_sexes--
T91.1 Biopsy of sentinel lymph node NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,869,212744,0.327690898678933,0.161564893347465,,,categorical-41210-both_sexes-T911-
T67.8 Other specified primary repair of tendon,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,174,394667,0.327737209270596,0.357207288130068,,,categorical-41200-both_sexes-T678-
narcolepsy 1220 binary,narcolepsy_1220_binary,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,,10349,382944,0.328713902488021,0.0458673351253263,,,categorical-narcolepsy_1220_binary-both_sexes--custom
sitting height female custom,sitting_height_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,213165,,0.329025354908045,0.0111136879951174,,,continuous-sitting_height_female_custom-females--custom
T85.1 Block dissection of cervical lymph nodes,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,228,394613,0.329034101590977,0.312059731133461,,,categorical-41200-both_sexes-T851-
T67.9 Unspecified primary repair of tendon,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,351,394490,0.329803530391863,0.248287378548265,,,categorical-41200-both_sexes-T679-
X40.4 Haemofiltration,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,222,394619,0.329980698411957,-0.312703619690548,,,categorical-41210-both_sexes-X404-
Mean L3 in anterior limb of internal capsule on FA skeleton (right),25312,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.330133570343132,0.0320378583628885,,,continuous-25312-both_sexes--irnt
V25.4 Primary posterior laminectomy decompression of lumbar spine,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,621,394220,0.33060593459157,0.182127888696797,,,categorical-41200-both_sexes-V254-
Y20.9 Unspecified biopsy of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2744,392097,0.330736227821763,-0.0877860879925484,,,categorical-41210-both_sexes-Y209-
Y80.9 Unspecified general anaesthetic,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6749,388092,0.330757217293694,-0.0569745727627814,,,categorical-41210-both_sexes-Y809-
O43 Placental disorders,132232,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,228,213385,0.330842728744936,0.297281949142837,,,icd_first_occurrence-132232-both_sexes--
T59.2 Excision of ganglion of hand NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,933,393908,0.331329955793768,0.151382246509303,,,categorical-41200-both_sexes-T592-
K44 Diaphragmatic hernia,131620,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,35886,358955,0.331458072565451,0.0249566285360118,,,icd_first_occurrence-131620-both_sexes--
B08.1 Total thyroidectomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,504,394337,0.331527854667223,0.206909188030143,,,categorical-41200-both_sexes-B081-
Weighted-mean L2 in tract acoustic radiation (left),25596,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.331812992592812,0.0349750779708858,,,continuous-25596-both_sexes--irnt
FFMIadjBMI female custom,FFMIadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,209946,,0.331836743338569,-0.0113962207194946,,,continuous-FFMIadjBMI_female_custom-females--custom
P23.3 Posterior colporrhaphy NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,340,213273,0.332286960454029,-0.251253233333893,,,categorical-41210-both_sexes-P233-
AtopDerm Narrow custom,AtopDerm_Narrow_custom,categorical,,Autoimmune/inflammatory,,11635,310688,0.332410395946678,0.0434247775636709,,,categorical-AtopDerm_Narrow_custom-both_sexes--custom
AtopDerm Narrow custom,AtopDerm_Narrow_custom,categorical,,Autoimmune/inflammatory,,11635,310688,0.332410395946678,0.0434247775636709,,,categorical-AtopDerm_Narrow_custom-both_sexes--custom
W08.3 Excision of excrescence of bone,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,459,394382,0.333044695060248,0.212369457925688,,,categorical-41210-both_sexes-W083-
Z69.7 Lower end of humerus NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,199,394642,0.333322154779535,0.329923480040347,,,categorical-41210-both_sexes-Z697-
Y82.9 Unspecified local anaesthetic,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,10793,384048,0.333452242498451,-0.0406493798045866,,,categorical-41210-both_sexes-Y829-
Calceos chewable tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,218,394565,0.33393792580875,0.309286455079855,,,categorical-20003-both_sexes-1141146612-
N93 Other abnormal uterine and vaginal bleeding,132148,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,8684,204929,0.333991231262368,0.0541452162029044,,,icd_first_occurrence-132148-both_sexes--
"J15 Bacterial pneumonia, not elsewhere classified",131450,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,763,394078,0.334285441882202,-0.166377085778127,,,icd_first_occurrence-131450-both_sexes--
Y22.3 Irrigation of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1197,393644,0.334996213423612,-0.130428313415257,,,categorical-41210-both_sexes-Y223-
Diclofenac,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,8282,386501,0.33586772951674,0.0508681617628515,,,categorical-20003-both_sexes-1140884488-
Inguinal hernia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1496,179699,0.335949129087084,-0.111970776233593,,,categorical-20002-both_sexes-1513-
Mean FA in corticospinal tract on FA skeleton (left),25063,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.336334067163872,-0.0326975680411708,,,continuous-25063-both_sexes--irnt
Mean L1 in external capsule on FA skeleton (right),25232,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.336423880319402,0.0338687250612695,,,continuous-25232-both_sexes--irnt
T12.2 Drainage of pleural cavity NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,415,394426,0.336426470300093,-0.223450841025627,,,categorical-41200-both_sexes-T122-
Median T2star in pallidum (right),25033,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,16739,,0.336929060423871,-0.0347101253236776,,,continuous-25033-both_sexes--irnt
"J31 Chronic rhinitis, nasopharyngitis and pharyngitis",131466,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,5190,389651,0.337057912878426,-0.0624772559710452,,,icd_first_occurrence-131466-both_sexes--
T36.4 Biopsy of lesion of omentum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,754,212859,0.337224441551528,0.16852960719461,,,categorical-41210-both_sexes-T364-
Ipratropium,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,500,394283,0.337494084668198,0.205574527931004,,,categorical-20003-both_sexes-1140883548-
Y14.3 Insertion of metal stent into organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,628,394213,0.3377166286152,0.187242319876901,,,categorical-41210-both_sexes-Y143-
Weighted-mean OD in tract superior longitudinal fasciculus (right),25699,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.337739428499721,-0.0345378089315759,,,continuous-25699-both_sexes--irnt
A09 Diarrhoea and gastro-enteritis of presumed infectious origin,130018,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,11968,382873,0.33788032503693,0.0466562524360351,,,icd_first_occurrence-130018-both_sexes--
Ercp/endoscopic retrograde cholangiopancreatogram,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,345,394438,0.337903216837553,0.253353376204556,,,categorical-20004-both_sexes-1518-
M20 Acquired deformities of fingers and toes,131878,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,16222,378619,0.338102235095305,-0.0360446978150227,,,icd_first_occurrence-131878-both_sexes--
E25.9 Unspecified diagnostic endoscopic examination of pharynx,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1075,393766,0.338193389040056,0.143096958148309,,,categorical-41210-both_sexes-E259-
Mean L1 in retrolenticular part of internal capsule on FA skeleton (right),25220,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.338412481411639,0.0334451520329643,,,continuous-25220-both_sexes--irnt
X38.2 Injection of steroid for local action NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,565,394276,0.338567666453798,0.19110624926924,,,categorical-41200-both_sexes-X382-
Q11.1 Vacuum aspiration of products of conception from uterus NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1234,212379,0.340316437134184,-0.135732274079833,,,categorical-41200-both_sexes-Q111-
W66.3 Primary manipulative closed reduction of fracture dislocation of joint NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,213,394628,0.340544477856612,-0.319125184359856,,,categorical-41200-both_sexes-W663-
Y15.7 Removal of stent from organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,223,394618,0.340775039185988,0.304867911132146,,,categorical-41210-both_sexes-Y157-
Diabetic eye disease,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,750,394033,0.34180518680979,0.161605192521973,,,categorical-20002-both_sexes-1276-
P duration,12338,continuous,,"UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead",,20230,,0.342169481246123,0.0304213223980875,,,continuous-12338-both_sexes--irnt
M44.1 Endoscopic lithopaxy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,243,394598,0.342738583630848,0.289106757092276,,,categorical-41200-both_sexes-M441-
Z89.5 Thumb NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1128,393713,0.342803892889586,-0.132743151045233,,,categorical-41210-both_sexes-Z895-
A84.7 Sleep studies NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,851,393990,0.342812819640935,0.161302764461497,,,categorical-41200-both_sexes-A847-
Jaundice (unknown cause),20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,347,394436,0.342913680662323,0.242152266524609,,,categorical-20002-both_sexes-1508-
Umbilical hernia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,331,394452,0.343002700375692,-0.238975219172234,,,categorical-20002-both_sexes-1512-
T86.8 Other specified sampling of lymph nodes,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,244,394597,0.343132937785924,-0.290940672305478,,,categorical-41210-both_sexes-T868-
Mean L1 in external capsule on FA skeleton (left),25233,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.343388636317327,0.0332544360985046,,,continuous-25233-both_sexes--irnt
Weighted-mean FA in tract inferior longitudinal fasciculus (right),25503,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.343873326823682,-0.0337879992627918,,,continuous-25503-both_sexes--irnt
K60.1 Implantation of intravenous cardiac pacemaker system NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,251,394590,0.344240037306679,0.273992886237648,,,categorical-41210-both_sexes-K601-
Volume of grey matter (normalised for head size),25005,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI,,18193,,0.344321525236038,-0.0245633525358701,,,continuous-25005-both_sexes--irnt
N11.1 Excision of hydrocele sac,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,308,180920,0.344524286106157,-0.260003760466216,,,categorical-41200-both_sexes-N111-
Nasal/sinus disorder,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1506,393277,0.344529820382049,0.115564679968481,,,categorical-20002-both_sexes-1413-
B08.3 Hemithyroidectomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,503,394338,0.344680185280569,-0.200671561637796,,,categorical-41200-both_sexes-B083-
Weighted-mean MO in tract superior thalamic radiation (right),25566,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.344868996861339,-0.0325827262590404,,,continuous-25566-both_sexes--irnt
U05.2 Magnetic resonance imaging of head,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1824,393017,0.344924054528813,-0.104787468354909,,,categorical-41200-both_sexes-U052-
Z84.4 Patellofemoral joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,547,394294,0.345311197162598,-0.189544024025716,,,categorical-41210-both_sexes-Z844-
T70.2 Tenotomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,175,394666,0.345725520286204,-0.331585493579873,,,categorical-41200-both_sexes-T702-
W90.1 Aspiration of joint,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1620,393221,0.345889461764112,0.112537111353066,,,categorical-41200-both_sexes-W901-
C77 Secondary and unspecified malignant neoplasm of lymph nodes,C77,icd10,,"Chapter II Neoplasms | C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites | C77 Secondary and unspecified malignant neoplasm of lymph nodes",,5150,389691,0.34602278289192,0.0632646526010137,,,icd10-C77-both_sexes--
Urethral stricture surgery / dilatation,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,199,394584,0.346195959355694,-0.313140596421485,,,categorical-20004-both_sexes-1583-
Thyroid cancer,20001,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,367,394416,0.346251966819883,0.232590223181857,,,categorical-20001-both_sexes-1065-
N23 Unspecified renal colic,132042,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,4304,390537,0.347364602890806,-0.0670864567358756,,,icd_first_occurrence-132042-both_sexes--
"Q38 Other congenital malformations of tongue, mouth and pharynx",132500,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,404,394437,0.347531150022537,-0.223884096053076,,,icd_first_occurrence-132500-both_sexes--
Z73.3 Phalanx of thumb,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,182,394659,0.347783325950682,-0.329714843587517,,,categorical-41210-both_sexes-Z733-
M47.1 Urethral irrigation of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,386,394455,0.348532587427464,0.224695555442096,,,categorical-41200-both_sexes-M471-
Erythromycin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,294,394489,0.348620900917327,-0.275641955060357,,,categorical-20003-both_sexes-1140873608-
"N99 Postprocedural disorders of genito-urinary system, not elsewhere classified",132160,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1293,393548,0.349176211655895,-0.124455995191846,,,icd_first_occurrence-132160-both_sexes--
Hereditary/genetic haematological disorder,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,341,394442,0.350055821258366,0.239992965946073,,,categorical-20002-both_sexes-1451-
Z27.2 Stomach,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,28150,366691,0.350141236791138,0.0273781435699313,,,categorical-41210-both_sexes-Z272-
Rectal/sigmoid resection,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,555,394228,0.350548045787144,-0.187754285401876,,,categorical-20004-both_sexes-1465-
Allergy to house dust mite,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,213,394570,0.350612277767037,-0.298324489538354,,,categorical-20002-both_sexes-1668-
Clarityn 10mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,331,394452,0.350659392208077,-0.241111701415186,,,categorical-20003-both_sexes-1140862776-
Mean L1 in pontine crossing tract on FA skeleton,25201,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.350813561391934,0.0325349688109265,,,continuous-25201-both_sexes--irnt
Aprovel 75mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,319,394464,0.351116299917401,0.247760963538033,,,categorical-20003-both_sexes-1141153006-
E85.1 Invasive ventilation,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,570,394271,0.351666453697312,-0.184236124875345,,,categorical-41210-both_sexes-E851-
"N91 Absent, scanty and rare menstruation",132144,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1858,211755,0.351697730580977,0.106265459316982,,,icd_first_occurrence-132144-both_sexes--
Weighted-mean L1 in tract parahippocampal part of cingulum (left),25575,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.351702421290164,0.0318997261636956,,,continuous-25575-both_sexes--irnt
Fertility treatment procedures,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,968,212620,0.35201671747143,0.144534480836906,,,categorical-20004-both_sexes-1475-
chronotype 1180 quant,chronotype_1180_quant,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,,350227,,0.352070909707315,-0.0072222751439097,,,continuous-chronotype_1180_quant-both_sexes--custom
Weighted-mean ICVF in tract superior thalamic radiation (left),25673,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.352441834625094,-0.0331247173686589,,,continuous-25673-both_sexes--irnt
Mean FA in tapetum on FA skeleton (left),25103,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.352639705609889,-0.0333667654988478,,,continuous-25103-both_sexes--irnt
Zomig 2.5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,382,394401,0.352751170716484,0.223301899169666,,,categorical-20003-both_sexes-1141150624-
Carbamazepine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,600,394183,0.352939492641025,0.181815060017177,,,categorical-20003-both_sexes-2038459704-
Weighted-mean L3 in tract forceps major,25633,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.353070003134382,-0.0332859034597555,,,continuous-25633-both_sexes--irnt
W90.4 Injection into joint NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,439,394402,0.353280096437055,0.209962907353877,,,categorical-41200-both_sexes-W904-
Q55.4 Colposcopy of cervix,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,204,213409,0.353520319514829,0.299764729881552,,,categorical-41210-both_sexes-Q554-
O34 Maternal care for known or suspected abnormality of pelvic organs,132220,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1455,212158,0.354048644381553,-0.116643230267363,,,icd_first_occurrence-132220-both_sexes--
Bone surgery/joint surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,3219,391564,0.354102144758995,0.0806364514036872,,,categorical-20004-both_sexes-1296-
H55.3 Laying open of anal fistula NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,525,394316,0.354149406922032,0.194563949764712,,,categorical-41200-both_sexes-H553-
"K50 Crohn's disease [regional enteritis]",131626,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2266,392575,0.354178745544538,-0.090837978803684,,,icd_first_occurrence-131626-both_sexes--
Q20.2 Biopsy of lesion of uterus NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,665,212948,0.354182741726271,0.174893494711378,,,categorical-41200-both_sexes-Q202-
Z48.1 Skin of scalp,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3052,391789,0.354280166259228,0.0786885797385683,,,categorical-41210-both_sexes-Z481-
Q12.1 Introduction of intrauterine contraceptive device,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2193,211420,0.354497896951668,0.0962771957037101,,,categorical-41210-both_sexes-Q121-
Y03.1 Maintenance of prosthesis in organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,560,394281,0.354498901981232,0.185797904925611,,,categorical-41210-both_sexes-Y031-
B27.6 Skin sparing mastectomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,422,213191,0.354556715045854,0.214872173206671,,,categorical-41200-both_sexes-B276-
Mean ICVF in external capsule on FA skeleton (right),25376,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.354902761371598,-0.0320350877767811,,,continuous-25376-both_sexes--irnt
Median T2star in thalamus (left),25026,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,16739,,0.355123634284448,0.0318569646106561,,,continuous-25026-both_sexes--irnt
L71.3 Percutaneous transluminal embolisation of artery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,220,213393,0.355536760717023,0.298713508796647,,,categorical-41200-both_sexes-L713-
Large bowel resection +/- colostomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1097,393686,0.355799284621108,0.132633079225843,,,categorical-20004-both_sexes-1461-
Volume of grey matter in VI Cerebellum (vermis),25898,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.35586820247296,-0.0307742418913461,,,continuous-25898-both_sexes--irnt
Mean L3 in external capsule on FA skeleton (right),25328,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.355876073734977,0.0318087842304367,,,continuous-25328-both_sexes--irnt
Y82.1 Local anaesthetic nerve block,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2008,392833,0.356002075492644,-0.0965316244622503,,,categorical-41210-both_sexes-Y821-
G45.9 Unspecified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1523,393318,0.356149062996728,0.115724447332511,,,categorical-41210-both_sexes-G459-
T20.2 Primary repair of inguinal hernia using insert of prosthetic material,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,230,180998,0.356193295917706,0.283332959530961,,,categorical-41210-both_sexes-T202-
Q35.9 Unspecified endoscopic bilateral occlusion of fallopian tubes,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,239,213374,0.356269407393847,-0.323826590119542,,,categorical-41200-both_sexes-Q359-
Aortic aneurysm/repair or stent,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,289,394494,0.357036635835844,0.256877451259188,,,categorical-20004-both_sexes-1104-
Q20.2 Biopsy of lesion of uterus NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,404,213209,0.357162212570848,-0.218273281297158,,,categorical-41210-both_sexes-Q202-
Weighted-mean FA in tract forceps minor,25499,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.357436532010892,-0.0324062146005036,,,continuous-25499-both_sexes--irnt
Mean ICVF in posterior limb of internal capsule on FA skeleton (left),25363,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.357460703670773,-0.0331728605446512,,,continuous-25363-both_sexes--irnt
I78 Diseases of capillaries,131392,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,2146,392695,0.357595307701864,0.094662329923085,,,icd_first_occurrence-131392-both_sexes--
Volume of thalamus (left),25011,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,18180,,0.35802483168753,-0.027297854139656,,,continuous-25011-both_sexes--irnt
U54.3 Delivery of rehabilitation for stroke,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,394,394447,0.358081923449374,-0.218484750910995,,,categorical-41200-both_sexes-U543-
H07.1 Right hemicolectomy and end to end anastomosis of ileum to colon,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,402,394439,0.35898760857073,-0.218453817767955,,,categorical-41200-both_sexes-H071-
Z76.1 Head of femur,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,354,394487,0.359062594421841,-0.22861344968428,,,categorical-41210-both_sexes-Z761-
X65.4 Delivery of a fraction of external beam radiotherapy NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,632,394209,0.359438362639467,0.172421274262854,,,categorical-41210-both_sexes-X654-
Mean L1 in uncinate fasciculus on FA skeleton (left),25245,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.359464310352992,0.0319188232136211,,,continuous-25245-both_sexes--irnt
Mean L3 in cerebral peduncle on FA skeleton (right),25310,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.360821216534479,0.0319062101999731,,,continuous-25310-both_sexes--irnt
Dermovate cream,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,585,394198,0.361206710774371,0.176165225598522,,,categorical-20003-both_sexes-1140882782-
Minimum carotid IMT (intima-medial thickness) at 210 degrees ,22676,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,21839,,0.36123147677239,-0.0270753560541488,,,continuous-22676-both_sexes--irnt
"H93 Other disorders of ear, not elsewhere classified",131264,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,11230,383611,0.361304526631656,-0.0409124417027883,,,icd_first_occurrence-131264-both_sexes--
Parotid surgery / parotidectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,170,394613,0.361384786103632,-0.319732556033355,,,categorical-20004-both_sexes-1560-
G19.9 Unspecified diagnostic endoscopic examination of oesophagus using rigid oesophagoscope,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,918,393923,0.361455073547362,0.146323988004836,,,categorical-41210-both_sexes-G199-
Y15.2 Renewal of stent in organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,194,394647,0.361462245570553,-0.309376324536553,,,categorical-41210-both_sexes-Y152-
Mean MO in cingulum hippocampus on FA skeleton (left),25189,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.362148269859126,-0.0327260375234145,,,continuous-25189-both_sexes--irnt
Y11.2 Cryotherapy to organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,271,394570,0.362448710633324,-0.257706569681178,,,categorical-41210-both_sexes-Y112-
Corneal resistance factor right custom,Corneal_resistance_factor_right_custom,continuous,,,,83332,,0.362885680158442,0.0372854468572146,,,continuous-Corneal_resistance_factor_right_custom-both_sexes--custom
