Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Mean L1 in posterior corona radiata on FA skeleton (right),25226,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.513933035044643,-0.035141636444595,,,continuous-25226-both_sexes--irnt
Mean L1 in superior corona radiata on FA skeleton (right),25224,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.514049024119123,0.0369352159246183,,,continuous-25224-both_sexes--irnt
Buprenorphine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,262,394521,0.514111782384469,-0.314030878433343,,,categorical-20003-both_sexes-1140871732-
O06 Unspecified abortion,132174,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,404,213209,0.514295613025904,-0.253837129223999,,,icd_first_occurrence-132174-both_sexes--
Tylex capsule,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,181,394602,0.514520986191308,0.384664887282208,,,categorical-20003-both_sexes-1140871680-
Mean FA in pontine crossing tract on FA skeleton,25057,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.514985870692586,-0.0372679794218415,,,continuous-25057-both_sexes--irnt
Mean MD in cingulum hippocampus on FA skeleton (right),25140,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.515481805084464,-0.0383297536769756,,,continuous-25140-both_sexes--irnt
U19.1 Implantation of electrocardiography loop recorder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,563,394278,0.515569860175659,0.217863983471911,,,categorical-41200-both_sexes-U191-
H25.9 Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3328,391513,0.516343647253422,0.0886368040314067,,,categorical-41210-both_sexes-H259-
Visceral adipose tissue volume (VAT),22407,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5275,,0.516384311127202,-0.0558736024570758,,,continuous-22407-both_sexes--irnt
Volume of grey matter in Planum Polare (right),25869,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.516801254764944,-0.0334313975529644,,,continuous-25869-both_sexes--irnt
T77.4 Debridement of muscle NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,188,394653,0.517065902204713,-0.366722966115732,,,categorical-41210-both_sexes-T774-
"Volume of grey matter in Supramarginal Gyrus, posterior division (left)",25820,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.517204913397801,-0.0342287204013155,,,continuous-25820-both_sexes--irnt
Weighted-mean L2 in tract corticospinal tract (left),25604,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.517218247388718,-0.0383694910223175,,,continuous-25604-both_sexes--irnt
Mean L1 in corticospinal tract on FA skeleton (right),25206,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.517723695739705,0.0379813978168276,,,continuous-25206-both_sexes--irnt
K60.1 Implantation of intravenous cardiac pacemaker system NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,251,394590,0.517915046249212,-0.311960067408487,,,categorical-41210-both_sexes-K601-
M31.1 Extracorporeal shockwave lithotripsy of calculus of ureter,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,557,394284,0.518005609030787,-0.218019524961667,,,categorical-41200-both_sexes-M311-
Oesophageal cancer,20001,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,175,394608,0.51968295651898,0.379018601056651,,,categorical-20001-both_sexes-1017-
Arthrotec tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,552,394231,0.519701613220668,-0.216318296604356,,,categorical-20003-both_sexes-1140871266-
Mean MD in anterior corona radiata on FA skeleton (right),25126,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.519806812158468,-0.0356458988527681,,,continuous-25126-both_sexes--irnt
A46 Erysipelas,130078,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,270,394571,0.519815227265813,-0.310930093576007,,,icd_first_occurrence-130078-both_sexes--
Salmeterol+fluticasone propionate,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,731,394052,0.520320810090083,-0.184288094469322,,,categorical-20003-both_sexes-1141164086-
Sinus surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1347,393436,0.52058214548585,0.134413145515425,,,categorical-20004-both_sexes-1558-
V48.6 Denervation of spinal facet joint of lumbar vertebra NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,190,394651,0.520662216402165,-0.36419393593639,,,categorical-41200-both_sexes-V486-
Fracture clavicle / collar bone,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,429,394354,0.52076308213596,0.239079704166805,,,categorical-20002-both_sexes-1631-
Median T2star in amygdala (right),25037,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,16739,,0.52112796231343,0.0360820960587808,,,continuous-25037-both_sexes--irnt
Lung removal/pneumonectomy/lobectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,672,394111,0.521159434338934,0.195164225119706,,,categorical-20004-both_sexes-1444-
Adcal 600mg chewable tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1143,393640,0.521306622049266,-0.148899617983555,,,categorical-20003-both_sexes-1141171948-
Volume of grey matter in I-IV Cerebellum (left),25893,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.52220361302192,0.0343515356861889,,,continuous-25893-both_sexes--irnt
Q08.9 Unspecified vaginal excision of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2025,211588,0.522674230691666,0.110732465664188,,,categorical-41200-both_sexes-Q089-
L53 Other erythematous conditions,131760,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,936,393905,0.523042936558891,-0.163456201254654,,,icd_first_occurrence-131760-both_sexes--
Z66.8 Specified vertebra NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1123,393718,0.523156025423443,-0.148905064105555,,,categorical-41210-both_sexes-Z668-
Mean MD in external capsule on FA skeleton (left),25137,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.523306386921318,-0.0356558976616032,,,continuous-25137-both_sexes--irnt
G24.3 Antireflux fundoplication using abdominal approach,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,678,394163,0.523321303846065,-0.191908989788333,,,categorical-41200-both_sexes-G243-
Y82.8 Other specified local anaesthetic,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1543,393298,0.523457460204494,0.126261180518994,,,categorical-41210-both_sexes-Y828-
Weighted-mean OD in tract anterior thalamic radiation (left),25679,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.523639066551385,-0.0376485100704491,,,continuous-25679-both_sexes--irnt
Mean FA in inferior cerebellar peduncle on FA skeleton (left),25067,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.52384640255199,0.0368554524263919,,,continuous-25067-both_sexes--irnt
S64.1 Excision of nail bed,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,331,394510,0.523925572177767,-0.273824119792247,,,categorical-41200-both_sexes-S641-
G82 Paraplegia and tetraplegia,131104,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,386,394455,0.524123022806209,0.252742879781716,,,icd_first_occurrence-131104-both_sexes--
H20.4 Fibreoptic endoscopic destruction of lesion of colon NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,350,394491,0.524530896423815,-0.272620034317635,,,categorical-41200-both_sexes-H204-
Vitamin b6 preparation,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,399,213189,0.525057486600562,-0.248368377503299,,,categorical-20003-both_sexes-1140909874-
Z27.1 Oesophagus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,7126,387715,0.525231790352833,-0.0594152919003211,,,categorical-41210-both_sexes-Z271-
Schizophrenia custom,Schizophrenia_custom,categorical,,,,802,394039,0.525573250792748,-0.173946855709876,,,categorical-Schizophrenia_custom-both_sexes--custom
L87.4 Avulsion of varicose vein of leg,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1039,393802,0.526129488572475,0.155798093282628,,,categorical-41200-both_sexes-L874-
Weighted-mean MD in tract anterior thalamic radiation (left),25517,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.526296266849106,-0.0333686469015909,,,continuous-25517-both_sexes--irnt
Z98.6 Short saphenous vein,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,188,394653,0.526339120532053,-0.360963667464438,,,categorical-41210-both_sexes-Z986-
Mean L2 in sagittal stratum on FA skeleton (right),25278,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.526376996727928,-0.0370554701405625,,,continuous-25278-both_sexes--irnt
"F00 Dementia in alzheimer's disease",130836,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,472,394369,0.527564854892794,-0.228193698074934,,,icd_first_occurrence-130836-both_sexes--
Dry eyes,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,584,394199,0.527604543296121,-0.201462086683509,,,categorical-20002-both_sexes-1529-
Y53.5 Approach to organ under image intensifier,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6893,387948,0.527703494027998,-0.0597806162506087,,,categorical-41210-both_sexes-Y535-
Back problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,6938,387845,0.527712429658181,-0.0602603760151517,,,categorical-20002-both_sexes-1294-
Ulcerative colitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2062,392721,0.527719532191751,-0.109046710305765,,,categorical-20002-both_sexes-1463-
Q17.8 Other specified therapeutic endoscopic operations on uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,535,213078,0.527908357692579,-0.213362177434036,,,categorical-41200-both_sexes-Q178-
IOP Goldmann right custom,IOP_Goldmann_right_custom,continuous,,,,83332,,0.527951411573344,-0.069242860385268,,,continuous-IOP_Goldmann_right_custom-both_sexes--custom
W15.3 Osteotomy of first metatarsal bone NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1088,212525,0.528128962897219,0.148885772853777,,,categorical-41200-both_sexes-W153-
Q35.2 Endoscopic bilateral clipping of fallopian tubes,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2050,211563,0.528339804682498,-0.11344046538506,,,categorical-41200-both_sexes-Q352-
O23 Infections of genito-urinary tract in pregnancy,132200,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,237,213376,0.528668527808326,0.328043880122674,,,icd_first_occurrence-132200-both_sexes--
Eye trauma,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,550,394233,0.529471368974604,-0.211952888771211,,,categorical-20002-both_sexes-1279-
Volume of grey matter in Frontal Pole (left),25782,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.529582781299443,0.0307694427818755,,,continuous-25782-both_sexes--irnt
Latanoprost,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,778,394005,0.529795690237219,0.176417440968275,,,categorical-20003-both_sexes-1141146188-
Mean L1 in external capsule on FA skeleton (left),25233,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.529816886284142,-0.0363162006181264,,,continuous-25233-both_sexes--irnt
Y22.2 Aspiration of other lesion of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,669,394172,0.53030383985228,0.190155932909508,,,categorical-41210-both_sexes-Y222-
O62 Abnormalities of forces of labour,132248,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,409,213204,0.530311344304939,0.250785054009261,,,icd_first_occurrence-132248-both_sexes--
Mean L1 in anterior limb of internal capsule on FA skeleton (left),25217,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.530334409793043,-0.0344243106327157,,,continuous-25217-both_sexes--irnt
Depression,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,22602,372181,0.530657347449289,0.0331057724333953,,,categorical-20002-both_sexes-1286-
Mean MO in posterior corona radiata on FA skeleton (right),25178,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.530819566400857,-0.0349723202072587,,,continuous-25178-both_sexes--irnt
Mean FA in cerebral peduncle on FA skeleton (right),25070,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.531010488051295,0.0362194502635231,,,continuous-25070-both_sexes--irnt
"J40 Bronchitis, not specified as acute or chronic",131484,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,7509,387332,0.531308812846914,-0.0568547624455945,,,icd_first_occurrence-131484-both_sexes--
Scoliosis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,260,394523,0.531701072847077,-0.303274064510004,,,categorical-20002-both_sexes-1535-
A87 Viral meningitis,130148,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,406,394435,0.531884112045374,0.246936646826379,,,icd_first_occurrence-130148-both_sexes--
Alendronate sodium,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4544,390239,0.531897442115887,-0.0725769912407054,,,categorical-20003-both_sexes-1140922174-
Past tobacco smoking,1249,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,363286,,0.531979780678054,-0.00996826397944561,,,continuous-1249-both_sexes--
Salazopyrin 500mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,234,394549,0.531993828881529,0.321629158103592,,,categorical-20003-both_sexes-1140865670-
W08.2 Excision of overgrowth of bone,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,665,394176,0.532019624874994,0.188657995300233,,,categorical-41200-both_sexes-W082-
Sleeping too much,20534,categorical,,Online follow-up > Mental health > Depression,,10225,39517,0.532300646679827,-0.0558664075576172,,,categorical-20534-both_sexes--
Y18.8 Other specified release of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,231,394610,0.5323369991038,0.321897496883995,,,categorical-41210-both_sexes-Y188-
O64 Obstructed labour due to malposition and malpresentation of foetus,132252,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,400,213213,0.532556016778559,-0.246144337077264,,,icd_first_occurrence-132252-both_sexes--
T24.2 Repair of umbilical hernia using insert of prosthetic material,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1178,393663,0.532596021813972,0.142113323890824,,,categorical-41200-both_sexes-T242-
Rheumatoid factor,30820,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,33546,,0.532679418766832,-0.0266160018025987,,,continuous-30820-both_sexes--irnt
S35.9 Unspecified split autograft of skin,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,332,394509,0.533089047214491,-0.268604839186369,,,categorical-41210-both_sexes-S359-
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),25663,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.533108931931834,0.0367302437407001,,,continuous-25663-both_sexes--irnt
Abdominal hernia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,259,394524,0.53316658397664,0.290363299414931,,,categorical-20002-both_sexes-1511-
Dovobet ointment,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,452,394331,0.533218707399219,0.229285132854835,,,categorical-20003-both_sexes-1141179992-
N03 Chronic nephritic syndrome,132004,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,942,393899,0.533856005710306,-0.159116412268861,,,icd_first_occurrence-132004-both_sexes--
W85.2 Endoscopic irrigation of knee joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1178,393663,0.533969076534132,-0.140115458534964,,,categorical-41210-both_sexes-W852-
Reticulocyte count,30250,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.534032808589197,0.00763259617860279,,,continuous-30250-both_sexes--irnt
K85 Acute pancreatitis,131682,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2847,391994,0.534473700723443,-0.0917836879336924,,,icd_first_occurrence-131682-both_sexes--
V52.3 Discography of intervertebral disc,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,229,394612,0.53476216995873,0.319280557979506,,,categorical-41200-both_sexes-V523-
N34 Urethritis and urethral syndrome,132062,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,872,393969,0.534767372929219,-0.165373352850699,,,icd_first_occurrence-132062-both_sexes--
Varicose vein surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,16135,378648,0.534810529177124,0.0372797854356835,,,categorical-20004-both_sexes-1479-
K14 Diseases of tongue,131580,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2740,392101,0.534929344328838,0.0930247835252698,,,icd_first_occurrence-131580-both_sexes--
E25.9 Unspecified diagnostic endoscopic examination of pharynx,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1075,393766,0.534951739517321,0.148983461404914,,,categorical-41210-both_sexes-E259-
Y80.9 Unspecified general anaesthetic,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6749,388092,0.534988245481533,0.0591971272079569,,,categorical-41210-both_sexes-Y809-
Mean MD in tapetum on FA skeleton (right),25150,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.535141195682192,-0.0348937744215888,,,continuous-25150-both_sexes--irnt
E04 Other non-toxic goitre,130698,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,3581,391260,0.535482139251531,0.0797742165614284,,,icd_first_occurrence-130698-both_sexes--
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,58089,332594,0.535537569718486,-0.0301173780863189,,,categorical-6154-both_sexes-2-
W19.1 Primary open reduction of fracture of neck of femur and open fixation using pin and plate,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,294,394547,0.535587243485264,0.287988734473364,,,categorical-41200-both_sexes-W191-
D64 Other anaemias,130648,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,16820,378021,0.535666335060582,-0.0377509125788307,,,icd_first_occurrence-130648-both_sexes--
Actonel 5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,285,213303,0.535784269285106,0.287955485629427,,,categorical-20003-both_sexes-1141175690-
E25.9 Unspecified diagnostic endoscopic examination of pharynx,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,725,394116,0.535877441949425,0.179758501274082,,,categorical-41200-both_sexes-E259-
"Sjogren's syndrome/sicca syndrome",20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,338,213250,0.536257615457848,-0.265592938666396,,,categorical-20002-both_sexes-1382-
Bronchiectasis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,947,393836,0.536659482289646,0.15775249740037,,,categorical-20002-both_sexes-1114-
Mean MD in medial lemniscus on FA skeleton (right),25112,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.537098259629248,-0.0359845048176824,,,continuous-25112-both_sexes--irnt
T46.1 Paracentesis abdominis for ascites,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,260,394581,0.53756144815548,-0.300119474687141,,,categorical-41200-both_sexes-T461-
E05 Thyrotoxicosis [hyperthyroidism],130700,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,5533,389308,0.53773069252329,-0.0633753896755248,,,icd_first_occurrence-130700-both_sexes--
Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right),25338,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.538172368292965,-0.0330159839377111,,,continuous-25338-both_sexes--irnt
Codeine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2120,392663,0.538423444466291,-0.106651936286235,,,categorical-20003-both_sexes-1140884444-
Weighted-mean MO in tract middle cerebellar peduncle,25558,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.538466253158585,-0.0359029199301214,,,continuous-25558-both_sexes--irnt
U05.1 Computed tomography of head,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,9462,385379,0.539128648736995,-0.0497909624805623,,,categorical-41200-both_sexes-U051-
Zoton 15mg capsule,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,270,394513,0.539170237457264,-0.298998239553727,,,categorical-20003-both_sexes-1140923688-
Hernia surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2563,392220,0.539173327082208,-0.0939587233969722,,,categorical-20004-both_sexes-1402-
Nasal polyp surgery / nasal polypectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1188,393595,0.53920695701669,0.136718397286411,,,categorical-20004-both_sexes-1559-
hand grip strength female custom,hand_grip_strength_female_custom,continuous,,,,212570,,0.539620641285632,-0.00957219247052597,,,continuous-hand_grip_strength_female_custom-females--custom
Risperidone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,187,394596,0.539867364860836,-0.3520652976062,,,categorical-20003-both_sexes-1140867444-
Adcal-d3 1.5g/10micrograms chewable tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2646,392137,0.539945561572374,0.0935290928032475,,,categorical-20003-both_sexes-1141164828-
Otosclerosis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,185,394598,0.54008554981149,-0.351841993329985,,,categorical-20002-both_sexes-1420-
F20.3 Biopsy of lesion of gingiva,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,178,394663,0.541058062324368,0.348806654153481,,,categorical-41200-both_sexes-F203-
Cholecystitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,397,394386,0.541110456719432,-0.240064366086753,,,categorical-20002-both_sexes-1163-
Renal failure not requiring dialysis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,292,394491,0.541384722279278,0.28339902715232,,,categorical-20002-both_sexes-1194-
Z20.1 External ear,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,262,394579,0.541453160548863,-0.297300634360825,,,categorical-41210-both_sexes-Z201-
M49 Spondylopathies in diseases classified elsewhere,131920,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,173,394668,0.541487768707219,0.357253917318891,,,icd_first_occurrence-131920-both_sexes--
G44.5 Fibreoptic endoscopic percutaneous insertion of gastrostomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,335,394506,0.541530388686082,-0.264036556381131,,,categorical-41200-both_sexes-G445-
U21.2 Computed tomography NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6255,388586,0.541605691866338,0.0580938571139432,,,categorical-41210-both_sexes-U212-
Median T2star in thalamus (left),25026,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,16739,,0.541753765320456,-0.0342671723805199,,,continuous-25026-both_sexes--irnt
M33 Dermatopolymyositis,131896,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,175,394666,0.542098749809869,0.356377446622999,,,icd_first_occurrence-131896-both_sexes--
K49.2 Percutaneous transluminal balloon angioplasty of multiple coronary arteries,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,411,394430,0.542686930745779,-0.238725649123591,,,categorical-41200-both_sexes-K492-
Y46.8 Other specified open approach to contents of cranium,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,186,394655,0.542731658956216,-0.349777211549698,,,categorical-41210-both_sexes-Y468-
K41.1 Autograft replacement of one coronary artery NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,342,394499,0.543142647066727,-0.262944618324874,,,categorical-41210-both_sexes-K411-
J43 Emphysema,131490,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,2550,392291,0.543207774360935,0.0951150191134875,,,icd_first_occurrence-131490-both_sexes--
Vitamin d product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1049,393734,0.543278118706294,-0.145950342440396,,,categorical-20003-both_sexes-1140870954-
Rheumatoid arthritis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,4446,390337,0.543371400498183,-0.0708128796261917,,,categorical-20002-both_sexes-1464-
Lymphocyte percentage,30180,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382770,,0.543413020250954,0.00730949855309206,,,continuous-30180-both_sexes--irnt
Y95.3 From 9 weeks to < 14 weeks gestational age,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,134,213479,0.543680146448168,0.422609524166354,,,categorical-41210-both_sexes-Y953-
"Volume of grey matter in Lateral Occipital Cortex, superior division (left)",25824,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.54372274300566,0.0324632402940207,,,continuous-25824-both_sexes--irnt
Retinal artery/vein occlusion,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,181,394602,0.543878963637951,0.354639476722527,,,categorical-20002-both_sexes-1282-
G51 Facial nerve disorders,131064,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,2486,392355,0.543893398552145,-0.0949637035745552,,,icd_first_occurrence-131064-both_sexes--
Mean L2 in retrolenticular part of internal capsule on FA skeleton (left),25269,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.544262323579546,-0.0358943060318217,,,continuous-25269-both_sexes--irnt
Gastric/stomach ulcers,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2762,392021,0.544497000916836,0.0921276803538134,,,categorical-20002-both_sexes-1142-
Mean L1 in medial lemniscus on FA skeleton (left),25209,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.544864789218574,-0.0356498223785515,,,continuous-25209-both_sexes--irnt
